start,end,load
2020-07-31 00:00:00+00:00,2020-07-31 01:00:00+00:00,31346.0
2020-07-31 01:00:00+00:00,2020-07-31 02:00:00+00:00,30501.0
2020-07-31 02:00:00+00:00,2020-07-31 03:00:00+00:00,30229.0
2020-07-31 03:00:00+00:00,2020-07-31 04:00:00+00:00,31037.0
2020-07-31 04:00:00+00:00,2020-07-31 05:00:00+00:00,33482.0
2020-07-31 05:00:00+00:00,2020-07-31 06:00:00+00:00,38265.0
2020-07-31 06:00:00+00:00,2020-07-31 07:00:00+00:00,43026.0
2020-07-31 07:00:00+00:00,2020-07-31 08:00:00+00:00,45914.0
2020-07-31 08:00:00+00:00,2020-07-31 09:00:00+00:00,47394.0
2020-07-31 09:00:00+00:00,2020-07-31 10:00:00+00:00,48363.0
2020-07-31 10:00:00+00:00,2020-07-31 11:00:00+00:00,48093.0
2020-07-31 11:00:00+00:00,2020-07-31 12:00:00+00:00,48353.0
2020-07-31 12:00:00+00:00,2020-07-31 13:00:00+00:00,49152.0
2020-07-31 13:00:00+00:00,2020-07-31 14:00:00+00:00,49418.0
2020-07-31 14:00:00+00:00,2020-07-31 15:00:00+00:00,49528.0
2020-07-31 15:00:00+00:00,2020-07-31 16:00:00+00:00,48434.0
2020-07-31 16:00:00+00:00,2020-07-31 17:00:00+00:00,47289.0
2020-07-31 17:00:00+00:00,2020-07-31 18:00:00+00:00,46327.0
2020-07-31 18:00:00+00:00,2020-07-31 19:00:00+00:00,45148.0
2020-07-31 19:00:00+00:00,2020-07-31 20:00:00+00:00,44005.0
2020-07-31 20:00:00+00:00,2020-07-31 21:00:00+00:00,40940.0
2020-07-31 21:00:00+00:00,2020-07-31 22:00:00+00:00,37607.0
2020-07-31 22:00:00+00:00,2020-07-31 23:00:00+00:00,34817.0
2020-07-31 23:00:00+00:00,2020-08-01 00:00:00+00:00,32453.0
